skip_name,lat,long
Chigumula,-15.8874332,35.0443875
Chigumula,-15.8895379,35.0512208
Chigumula main market,-15.885990137638482,35.06296743653037
Likotima,-15.852191224121059,35.05945673670045
Naizi market,-15.8494749,35.0823074
Naizi market,-15.8496159,35.0881916
Manje Misesa Market,-15.83918,35.043985
BCA market,-15.8441823,35.0630205
BCA market,-15.8444313,35.0693501
BCA market,-15.839383114489385,35.07505750222561
naisi market,-15.838245969612236,35.08863991939593
chilobwe market,-15.831150303333333,35.00812032583333
Pafumbi bus terminal,-15.8291657,35.0565254
Bangwe market,-15.8282683,35.084883
bangwe desert ground,-15.832553956670452,35.08949814081599
Nancholi Police,-15.817361666666667,34.996855833333335
Thawale market,-15.817593338095238,35.01214963809524
Zingwangwa water board,-15.8164725,35.0177456
Limbe market,-15.81918258888889,35.054117677777775
Railpy Limbe,-15.819968233333332,35.058448077777776
Bangwe ground,-15.8162941,35.0902355
Manase Market,-15.811165349166666,34.992578395
Kamba Market,-15.809488837777778,35.015264443333336
Limbe Hard Ware,-15.8140027,35.04983
Limbe flea market,-15.812598900000001,35.06154615
Kachere market,-15.8079213,35.0841115
Bangwe ground,-15.8090997,35.0972343
Queens Guardian shelter,-15.802812123333334,35.018946055
Blantyre market,-15.790292098,35.00750793666667
Wenela Bus terminal,-15.78568342,35.0157602
Nkolokoti,-15.791241666666668,35.06869166666667
Nkolokoti market,-15.790341566148008,35.080599536573295
Kachere Street,-15.790214585470984,35.08556505489884
Kachere market,-15.7934343,35.1053326
Chilomoni Fargo,-15.775917583333335,34.9821421
Kayange,-15.775651426666668,35.002773653333335
Mbayani Market,-15.776299296666668,35.007875760000005
Ndirande market,-15.776962793333333,35.036684515
Ndirande matope,-15.776263984444444,35.04868444777778
chigodi mkolokoti machinjiri,-15.779221666666668,35.07183833333333
Chilomoni market,-15.773471131666668,34.981732171666664
Mbwerela,-15.770633608333334,34.994546559999996
Chemusa market,-15.765916278333332,34.999415588333335
Insurance chinsewu,-15.774921666666668,35.03030666666667
Khama machinjiri,-15.76778318,35.07444592666667
Nthukwa market,-15.763799984999999,34.97994518
Chiweto,-15.746691383333335,35.01020434333333
Chirimba market,-15.744559587777777,35.020119307777776
Machinjiri market,-15.744643193333333,35.08101511666666
Kameza round a bout,-15.730363,35.0173168
South Lunzu,-15.730941776666665,35.05586108833333
Kameza roundabout,-15.724963333333337,35.01851666666666
