skip_name,lat.x,long.x,cluster
Bangwe ground,-15.8162941,35.0902355,1
Bangwe ground,-15.8090997,35.0972343,1
Bangwe market,-15.8282683,35.084883,1
Bangwe market,-15.8322942,35.088651,1
Bangwe market,-15.8318935,35.0928606,1
BCA market,-15.8444313,35.0693501,1
BCA market,-15.8441823,35.0630205,1
BCA market,-15.8486964,35.0648825,1
Blantyre flea market,-15.78863599,35.00640615,2
Blantyre market,-15.7944906,35.0087927,2
Chemusa market,-15.76600589,34.99935951,2
Chigumula,-15.8861397,35.0517857,3
Chigumula,-15.8874332,35.0443875,3
Chigumula,-15.8929361,35.0506559,3
Chilobwe,-15.83245058,35.00571967,4
Chilomoni market,-15.77344393,34.98171601,2
Chimwankhunda mosque,-15.8270523,35.0148433,4
Chirimba market,-15.74468123,35.01919829,2
Chirimba market,-15.7443242,35.0220263,2
Chiweto,-15.7467311,35.01017702,2
Fargo,-15.7759035,34.9831392,2
I.T.G,-15.8204747,35.0606009,1
Kachere market,-15.8079213,35.0841115,1
Kachere market,-15.7934343,35.1053326,1
Kameza round a bout,-15.730363,35.0173168,2
Kayange,-15.77574952,35.00267564,2
Khama market,-15.76770636,35.07455352,5
Likotima,-15.85393942,35.0567329,1
Limbe flea market,-15.8129183,35.0641464,1
Limbe Hard Ware,-15.8140027,35.04983,1
Limbe market,-15.8209911,35.0547397,1
Limbe market,-15.8122795,35.0589459,1
Machinjiri market,-15.74466472,35.0810519,5
Malekano,-15.81026647,34.99187905,4
Manase Market,-15.81201826,34.99330453,4
Mbayani market,-15.77596026,35.00804652,2
Mbwerela,-15.77072555,34.99452812,2
Mibawa Bus terminals,-15.7885589,35.0089775,2
Naizi market,-15.8496159,35.0881916,1
Naizi market,-15.8494749,35.0823074,1
Ndirande ground,-15.77514782,35.05062929,5
Ndirande ground,-15.7767658,35.04772572,5
Ndirande market,-15.77683392,35.03679903,5
Nkolokoti market,-15.7904719,35.0763238,5
Nthukwa market,-15.76380997,34.97998536,2
Pafumbi bus terminal,-15.8291657,35.0565254,1
Queens Guardian shelter,-15.80285258,35.01905211,4
Soche market,-15.80939818,35.01530833,4
South Lunzu market,-15.73088522,35.05611051,5
Thawale market,-15.8196523,35.0117058,4
Wenela Bus terminal,-15.78568342,35.0157602,2
Zingwangwa mosque,-15.8154094,35.008295,4
Zingwangwa water board,-15.8164725,35.0177456,4
