skip_name,cluster,avg_lat,avg_long
BCA market,1,-15.844173278622346,35.068077650556404
Bangwe desert ground,1,-15.832985,35.08826833333333
Bangwe ground,3,-15.8126969,35.0937349
Bangwe market,1,-15.830818666666666,35.0887982
Blantyre flea market,4,-15.78863599,35.00640615
Blantyre free market,4,-15.788706666666666,35.00640333333333
Blantyre market,4,-15.7944906,35.0087927
Blantyre produce,4,-15.791068333333332,35.00696000000001
Chemicals Market,4,-15.765826666666666,34.999471666666665
Chemusa market,4,-15.76600589,34.99935951
Chigumula,1,-15.888836333333334,35.04894303333334
Chigumula B - likotima,1,-15.853937852363176,35.05675481010133
Chigumula main market,1,-15.885990137638482,35.06296743653037
Chilobwe,2,-15.832496956666667,35.005887335
Chilomoni Fargo,4,-15.775931666666668,34.981145
Chilomoni market,4,-15.773471131666668,34.981732171666664
Chilomoni nthukwa market,4,-15.763789999999998,34.979905
Chimwankhunda mosque,2,-15.8270523,35.0148433
Chirimba market,4,-15.744502715,35.020612295
Chiweto,4,-15.7467311,35.01017702
Chiweto(close to chiweto bar),4,-15.746651666666668,35.01023166666666
Fargo,4,-15.7759035,34.9831392
I.T.G,1,-15.8204747,35.0606009
Insurance chinsewu,3,-15.774921666666668,35.03030666666667
Jumani Limbe,1,-15.81922,35.053938333333335
Kachere Street,3,-15.790214585470984,35.08556505489884
Kachere market,3,-15.800677799999999,35.09472205
Kamba Market,2,-15.809534166666666,35.0152425
Kameza round a bout,4,-15.730363,35.0173168
Kameza roundabout,4,-15.724963333333337,35.01851666666666
Kayange,4,-15.77574952,35.00267564
Kayange(Mbayani area),4,-15.775553333333336,35.00287166666667
Khama machinjiri,3,-15.76786,35.07433833333334
Khama market,3,-15.76770636,35.07455352
Likotima,1,-15.85393942,35.0567329
Limbe Hard Ware,1,-15.8140027,35.04983
Limbe Produce Market,1,-15.817491666666667,35.05573666666667
Limbe flea market,1,-15.8129183,35.0641464
Limbe hard ware,1,-15.817336666666666,35.053675
Limbe market,1,-15.816635300000002,35.0568428
M'bwelera(Namiwawa),4,-15.770541666666668,34.994564999999994
Machinjiri market,3,-15.74466472,35.0810519
Malekano,2,-15.810304901666665,34.991909525
Manase Market,2,-15.812025796666667,34.993247265
Manje Misesa Market,1,-15.83918,35.043985
Mbayani Market,4,-15.776638333333334,35.007705
Mbayani market,4,-15.760316796666665,35.01358992666667
Mbwerela,4,-15.77072555,34.99452812
Mibawa Bus terminals,4,-15.7885589,35.0089775
Naizi market,1,-15.8495454,35.0852495
Nancholi Police,2,-15.817528333333334,34.996658333333336
Nanjiriri(Machinjiri),3,-15.744621666666667,35.080978333333334
Ndirande ground,3,-15.77595681,35.049177505
Ndirande market,3,-15.776962793333333,35.036684515
Ndirande matope,3,-15.776878333333332,35.04769833333333
Nkolokoti,3,-15.791241666666668,35.06869166666667
Nkolokoti market,3,-15.7904719,35.0763238
Nthukwa market,4,-15.76380997,34.97998536
Pafumbi bus terminal,1,-15.8291657,35.0565254
Quec guardian shelter,2,-15.802771666666668,35.01884
Queens Guardian shelter,2,-15.80285258,35.01905211
Railpy Limbe,1,-15.821938333333332,35.05900666666666
Soche market,2,-15.80939818,35.01530833
South Lunzu,3,-15.730998333333332,35.055611666666664
South Lunzu market,3,-15.73088522,35.05611051
Thawale market,2,-15.819324483333332,35.012626233333336
Thawale market zingwangwa,2,-15.818641666666668,35.013484999999996
Wenela Bus terminal,4,-15.78568342,35.0157602
Zingwangwa mosque,2,-15.816273866666666,35.009996666666666
Zingwangwa water board,2,-15.8164725,35.0177456
Zingwangwa waterboard,2,-15.816204999999998,35.014538333333334
bangwe desert ground,1,-15.833043126681805,35.088212629930645
bangwe main market,1,-15.835059968156912,35.08799394601954
chigodi mkolokoti machinjiri,3,-15.779221666666668,35.07183833333333
chilobwe market,2,-15.832554999999996,35.00586333333333
kachere market,3,-15.790211232296018,35.084875273146594
naisi market,1,-15.84143197106756,35.08928589277232
nancholi police,2,-15.817195,34.997053333333334
zingwangwa mosque,2,-15.817109999999998,35.01177833333334
