"","skip_name","cluster","avg_lat","avg_long"
"1","BCA market",1,-15.8441732786223,35.0680776505564
"2","Bangwe desert ground",1,-15.832985,35.0882683333333
"3","Bangwe ground",3,-15.8126969,35.0937349
"4","Bangwe market",1,-15.8308186666667,35.0887982
"5","Blantyre flea market",4,-15.78863599,35.00640615
"6","Blantyre free market",4,-15.7887066666667,35.0064033333333
"7","Blantyre market",4,-15.7944906,35.0087927
"8","Blantyre produce",4,-15.7910683333333,35.00696
"9","Chemicals Market",4,-15.7658266666667,34.9994716666667
"10","Chemusa market",4,-15.76600589,34.99935951
"11","Chigumula",1,-15.8888363333333,35.0489430333333
"12","Chigumula B - likotima",1,-15.8539378523632,35.0567548101013
"13","Chigumula main market",1,-15.8859901376385,35.0629674365304
"14","Chilobwe",2,-15.8324969566667,35.005887335
"15","Chilomoni Fargo",4,-15.7759316666667,34.981145
"16","Chilomoni market",4,-15.7734711316667,34.9817321716667
"17","Chilomoni nthukwa market",4,-15.76379,34.979905
"18","Chimwankhunda mosque",2,-15.8270523,35.0148433
"19","Chirimba market",4,-15.744502715,35.020612295
"20","Chiweto",4,-15.7467311,35.01017702
"21","Chiweto(close to chiweto bar)",4,-15.7466516666667,35.0102316666667
"22","Fargo",4,-15.7759035,34.9831392
"23","I.T.G",1,-15.8204747,35.0606009
"24","Insurance chinsewu",3,-15.7749216666667,35.0303066666667
"25","Jumani Limbe",1,-15.81922,35.0539383333333
"26","Kachere Street",3,-15.790214585471,35.0855650548988
"27","Kachere market",3,-15.8006778,35.09472205
"28","Kamba Market",2,-15.8095341666667,35.0152425
"29","Kameza round a bout",4,-15.730363,35.0173168
"30","Kameza roundabout",4,-15.7249633333333,35.0185166666667
"31","Kayange",4,-15.77574952,35.00267564
"32","Kayange(Mbayani area)",4,-15.7755533333333,35.0028716666667
"33","Khama machinjiri",3,-15.76786,35.0743383333333
"34","Khama market",3,-15.76770636,35.07455352
"35","Likotima",1,-15.85393942,35.0567329
"36","Limbe Hard Ware",1,-15.8140027,35.04983
"37","Limbe Produce Market",1,-15.8174916666667,35.0557366666667
"38","Limbe flea market",1,-15.8129183,35.0641464
"39","Limbe hard ware",1,-15.8173366666667,35.053675
"40","Limbe market",1,-15.8166353,35.0568428
"41","M'bwelera(Namiwawa)",4,-15.7705416666667,34.994565
"42","Machinjiri market",3,-15.74466472,35.0810519
"43","Malekano",2,-15.8103049016667,34.991909525
"44","Manase Market",2,-15.8120257966667,34.993247265
"45","Manje Misesa Market",1,-15.83918,35.043985
"46","Mbayani Market",4,-15.7766383333333,35.007705
"47","Mbayani market",4,-15.7603167966667,35.0135899266667
"48","Mbwerela",4,-15.77072555,34.99452812
"49","Mibawa Bus terminals",4,-15.7885589,35.0089775
"50","Naizi market",1,-15.8495454,35.0852495
"51","Nancholi Police",2,-15.8175283333333,34.9966583333333
"52","Nanjiriri(Machinjiri)",3,-15.7446216666667,35.0809783333333
"53","Ndirande ground",3,-15.77595681,35.049177505
"54","Ndirande market",3,-15.7769627933333,35.036684515
"55","Ndirande matope",3,-15.7768783333333,35.0476983333333
"56","Nkolokoti",3,-15.7912416666667,35.0686916666667
"57","Nkolokoti market",3,-15.7904719,35.0763238
"58","Nthukwa market",4,-15.76380997,34.97998536
"59","Pafumbi bus terminal",1,-15.8291657,35.0565254
"60","Quec guardian shelter",2,-15.8027716666667,35.01884
"61","Queens Guardian shelter",2,-15.80285258,35.01905211
"62","Railpy Limbe",1,-15.8219383333333,35.0590066666667
"63","Soche market",2,-15.80939818,35.01530833
"64","South Lunzu",3,-15.7309983333333,35.0556116666667
"65","South Lunzu market",3,-15.73088522,35.05611051
"66","Thawale market",2,-15.8193244833333,35.0126262333333
"67","Thawale market zingwangwa",2,-15.8186416666667,35.013485
"68","Wenela Bus terminal",4,-15.78568342,35.0157602
"69","Zingwangwa mosque",2,-15.8162738666667,35.0099966666667
"70","Zingwangwa water board",2,-15.8164725,35.0177456
"71","Zingwangwa waterboard",2,-15.816205,35.0145383333333
"72","bangwe desert ground",1,-15.8330431266818,35.0882126299306
"73","bangwe main market",1,-15.8350599681569,35.0879939460195
"74","chigodi mkolokoti machinjiri",3,-15.7792216666667,35.0718383333333
"75","chilobwe market",2,-15.832555,35.0058633333333
"76","kachere market",3,-15.790211232296,35.0848752731466
"77","naisi market",1,-15.8414319710676,35.0892858927723
"78","nancholi police",2,-15.817195,34.9970533333333
"79","zingwangwa mosque",2,-15.81711,35.0117783333333
