Device identifier,Submission Date,Submitter,Duration,Date,Location of the Skip, Geolacation - Latitude , Geolacation - Longitude , Geolacation - Elevation ,What kind of waste is dumped more into the skip?,How full is the skip?,Picture of Skip,--PHOTO--|Latitude,--PHOTO--|Longitude,--PHOTO--|Accuracy (m),Picture of the Skip surrounding,--PHOTO--|Latitude,--PHOTO--|Longitude,--PHOTO--|Accuracy (m),Remarks
Billy Bray,09-06-2018 13:29:29 CEST,Billy Bray,00:02:01,2018-06-09,Kachere Street, -15.790214585470983 , 35.08556505489884 , 1205.3374827781508 ,cane platics and other household waste,Over flowing,https://akvoflow-75.s3.amazonaws.com/images/68b81229-7813-497f-9906-93bcc39b0e7d.jpg,-15.79028286,35.08558129,8,https://akvoflow-75.s3.amazonaws.com/images/3c30cc14-e8da-4606-89cc-db4e898489aa.jpg,-15.7901934,35.08558403,8,closer to dumpsote
Billy Bray,09-06-2018 13:40:02 CEST,Billy Bray,00:01:22,2018-06-09,kachere market, -15.790211232296018 , 35.084875273146594 , 1193.443227895646 ,"good organic waste, fairly clean",Empty/Almost empty,https://akvoflow-75.s3.amazonaws.com/images/0920c6ff-0b38-4eba-8abf-4b60e7eb21f3.jpg,-15.79018665,35.08484131,16,https://akvoflow-75.s3.amazonaws.com/images/e739d211-1b2d-456a-817d-24b7f6672148.jpg,-15.79001815,35.0850861,8,next to public toilet
Billy Bray,09-06-2018 14:05:09 CEST,Billy Bray,00:01:07,2018-06-09,bangwe desert ground, -15.833043126681805 , 35.088212629930645 , 1129.8082959072779 ,sugar cane,Over flowing,https://akvoflow-75.s3.amazonaws.com/images/c1447959-3398-42cd-a4e2-422e8553a332.jpg,-15.83298548,35.08818873,8,https://akvoflow-75.s3.amazonaws.com/images/2513f29a-767d-48d7-88f3-2b0acc3146a1.jpg,-15.83304329,35.08822435,6,compost haven
Billy Bray,09-06-2018 14:15:17 CEST,Billy Bray,00:01:35,2018-06-09,bangwe main market, -15.835059968156912 , 35.08799394601954 , 1121.3731111222385 ,bluegum,Over flowing,https://akvoflow-75.s3.amazonaws.com/images/8c3cda72-e516-4216-a9a7-7f7257f0964b.jpg,-15.83501074,35.08795257,8,https://akvoflow-75.s3.amazonaws.com/images/752f3d6a-9f89-40fc-b630-21b82ed111fa.jpg,-15.83502075,35.08793267,4,old waste collection structure
Billy Bray,09-06-2018 14:33:52 CEST,Billy Bray,00:02:04,2018-06-09,naisi market, -15.841431971067559 , 35.08928589277232 , 1098.1378581434512 ,sugar cane,Over flowing,https://akvoflow-75.s3.amazonaws.com/images/e6bb6e9a-e202-43fd-a88e-c7f48cd55ea5.jpg,-15.84148948,35.08944142,16,https://akvoflow-75.s3.amazonaws.com/images/32edb3ff-29df-4917-8a9b-0fb33fb0365a.jpg,-15.84143848,35.08930499,16,water for people are building structure for waste separation
Billy Bray,09-06-2018 14:51:09 CEST,Billy Bray,00:01:42,2018-06-09,BCA market, -15.839383114489383 , 35.07505750222561 , 1124.3754237026876 ,maize Stover,Over flowing,https://akvoflow-75.s3.amazonaws.com/images/1ae2cebb-3367-49cb-b72c-162492df7245.jpg,-15.83941372,35.07493419,12,https://akvoflow-75.s3.amazonaws.com/images/b3e0b57d-50a7-4e33-ac63-e8c3fb995b30.jpg,-15.83943542,35.07498718,6,another  water for people structure and a city toilet
Billy Bray,09-06-2018 15:16:08 CEST,Billy Bray,00:01:29,2018-06-09,Chigumula B - likotima, -15.853937852363176 , 35.05675481010133 , 1142.32514084067 ,vetetables some household,Over flowing,https://akvoflow-75.s3.amazonaws.com/images/52f20c07-47aa-4120-9daa-4e930788e5d7.jpg,-15.85393808,35.05672106,16,https://akvoflow-75.s3.amazonaws.com/images/16f91183-1992-45f3-8e5c-4c293544dc61.jpg,-15.85406638,35.05686226,8,city toilet available
Billy Bray,09-06-2018 15:26:47 CEST,Billy Bray,00:00:52,2018-06-09,Chigumula main market, -15.885990137638482 , 35.06296743653037 , 1175.8922156173114 ,sugar cane,Over flowing,https://akvoflow-75.s3.amazonaws.com/images/0e6eb1fc-afb7-450e-bdb3-45f13ef8f54e.jpg,-15.88597164,35.06298314,12,https://akvoflow-75.s3.amazonaws.com/images/0c729513-4850-464d-963b-f07c8ad2cf01.jpg,-15.88593637,35.06300182,6,city public toilet
SSLA 21,12-06-2018 08:11:05 CEST,Grover Casilla,00:04:03,2018-06-12,Kamba Market, -15.809555 , 35.01526166666667 , 1052.8 ,"mixed organic and inorganic waste. bottles, plastic, banana leaves 50%",Over flowing,https://akvoflow-75.s3.amazonaws.com/images/b87fd9dd-59aa-4696-b513-2b762b5661c6.jpg,-15.809485,35.01522833,6.199999809,https://akvoflow-75.s3.amazonaws.com/images/926e7c3a-8583-445b-816a-b9d2e940e94b.jpg,-15.809395,35.01532167,5.300000191,"the skip is located next to the banana stores, its estimated that 50% is banana leaves on the skip"
SSLA 21,12-06-2018 08:23:56 CEST,Grover Casilla,00:02:21,2018-06-12,Thawale market zingwangwa, -15.818641666666668 , 35.013484999999996 , 1054.4 ,market and household waste,Empty/Almost empty,https://akvoflow-75.s3.amazonaws.com/images/e64e5c51-6ef1-4d4d-96e4-679eb2e6ef94.jpg,-15.818705,35.01348167,2.5,https://akvoflow-75.s3.amazonaws.com/images/f5f571a9-316c-4996-ad6d-d32095acca2f.jpg,-15.81867167,35.01341833,2.5,"the skip is located next to the old toilet, this has to be demolished and the new toilet has to start operation"
