name,long,lat,capacity_l
Ndirande ground,35.05062929,-15.77514782,7000
Chimwankhunda mosque,35.0148433,-15.8270523,7000
Naizi market,35.0881916,-15.8496159,7000
Machinjiri market,35.0810519,-15.74466472,7000
South Lunzu market,35.05611051,-15.73088522,7000
Khama market,35.07455352,-15.76770636,7000
Nkolokoti market,35.0763238,-15.7904719,7000
Kachere market,35.0841115,-15.8079213,7000
Kachere market,35.1053326,-15.7934343,7000
Naizi market,35.0823074,-15.8494749,7000
Bangwe market,35.084883,-15.8282683,7000
Bangwe market,35.088651,-15.8322942,7000
Bangwe market,35.0928606,-15.8318935,7000
Bangwe ground,35.0902355,-15.8162941,7000
Bangwe ground,35.0972343,-15.8090997,7000
Limbe flea market,35.0641464,-15.8129183,7000
Limbe market,35.0547397,-15.8209911,7000
Limbe Hard Ware,35.04983,-15.8140027,7000
Limbe market,35.0589459,-15.8122795,7000
Pafumbi bus terminal,35.0565254,-15.8291657,7000
Likotima,35.0567329,-15.85393942,7000
I.T.G,35.0606009,-15.8204747,7000
Chigumula,35.0517857,-15.8861397,7000
Chigumula,35.0443875,-15.8874332,7000
BCA market,35.0630205,-15.8441823,7000
BCA market,35.0693501,-15.8444313,7000
BCA market,35.0648825,-15.8486964,7000
Chigumula,35.0506559,-15.8929361,7000
Ndirande ground,35.04772572,-15.7767658,7000
Ndirande market,35.03679903,-15.77683392,7000
Kameza round a bout,35.0173168,-15.730363,7000
Chirimba market,35.01919829,-15.74468123,7000
Chirimba market,35.0220263,-15.7443242,7000
Chiweto,35.01017702,-15.7467311,7000
Chemusa market,34.99935951,-15.76600589,7000
Kayange,35.00267564,-15.77574952,7000
Mbayani market,35.00804652,-15.77596026,7000
Mbwerela,34.99452812,-15.77072555,7000
Chilomoni market,34.98171601,-15.77344393,7000
Fargo,34.9831392,-15.7759035,7000
Nthukwa market,34.97998536,-15.76380997,7000
Blantyre flea market,35.00640615,-15.78863599,7000
Mibawa Bus terminals,35.0089775,-15.7885589,7000
Blantyre market,35.0087927,-15.7944906,7000
Malekano,34.99187905,-15.81026647,7000
Manase Market,34.99330453,-15.81201826,7000
Chilobwe,35.00571967,-15.83245058,7000
Thawale market,35.0117058,-15.8196523,7000
Zingwangwa water board,35.0177456,-15.8164725,7000
Zingwangwa mosque,35.008295,-15.8154094,7000
Soche market,35.01530833,-15.80939818,7000
Wenela Bus terminal,35.0157602,-15.78568342,7000
Queens Guardian shelter,35.01905211,-15.80285258,7000
